right x, right y, right size, left x, left y, left size
1.542725,15.593262,26.917969,1.182129,16.252441,29.718750
1.534912,15.571045,26.945312,1.185791,16.250977,29.738281
1.531494,15.577393,26.945312,1.182861,16.257324,29.757812
1.529541,15.577148,26.925781,1.180420,16.257324,29.761719
1.539307,15.566895,26.953125,1.173828,16.249512,29.753906
1.547852,15.562500,26.929688,1.171387,16.251953,29.746094
1.548340,15.564453,26.894531,1.163818,16.237793,29.746094
1.544189,15.552490,26.894531,1.164795,16.248535,29.773438
1.531738,15.562744,26.875000,1.165283,16.247559,29.777344
1.543457,15.561035,26.855469,1.163330,16.254395,29.785156
1.543701,15.563232,26.824219,1.158691,16.261963,29.781250
1.544434,15.569580,26.847656,1.167969,16.263184,29.785156
1.542725,15.552246,26.859375,1.171387,16.255127,29.773438
1.542480,15.554932,26.859375,1.150879,16.258545,29.750000
1.539307,15.576416,26.820312,1.152344,16.263672,29.761719
1.526367,15.573975,26.820312,1.152832,16.260986,29.753906
1.529785,15.566162,26.855469,1.150146,16.256104,29.750000
1.531982,15.571533,26.847656,1.157227,16.250488,29.761719
1.543945,15.562012,26.839844,1.157471,16.250732,29.734375
1.551758,15.587646,26.820312,1.153564,16.260742,29.742188
1.558838,15.576416,26.824219,1.155762,16.262939,29.750000
1.555908,15.571045,26.828125,1.153320,16.266846,29.757812
1.557373,15.570312,26.789062,1.159668,16.258301,29.726562
1.568604,15.562012,26.761719,1.164307,16.253418,29.746094
1.574951,15.566406,26.757812,1.167725,16.251953,29.742188
1.569824,15.562500,26.734375,1.168945,16.254150,29.738281
1.561279,15.559814,26.769531,1.173096,16.253418,29.746094
1.566650,15.555176,26.746094,1.173584,16.265137,29.750000
1.583252,15.559326,26.773438,1.172607,16.251465,29.738281
1.578125,15.559570,26.738281,1.183350,16.248291,29.730469
1.583740,15.553223,26.777344,1.176758,16.250488,29.753906
1.578125,15.552979,26.781250,1.179932,16.256348,29.765625
1.568359,15.534180,26.789062,1.170654,16.252197,29.765625
1.569336,15.548096,26.808594,1.174561,16.253662,29.757812
1.560791,15.546387,26.800781,1.173096,16.258057,29.777344
1.554443,15.537109,26.800781,1.174316,16.263672,29.773438
1.551270,15.515137,26.824219,1.177490,16.264404,29.773438
1.553711,15.543701,26.820312,1.180664,16.258545,29.742188
1.552002,15.546631,26.796875,1.182617,16.251465,29.746094
1.565186,15.538574,26.796875,1.183350,16.251709,29.753906
1.565186,15.552002,26.816406,1.184326,16.253906,29.773438
1.555420,15.548584,26.816406,1.181396,16.263428,29.773438
1.545166,15.554443,26.863281,1.191895,16.256104,29.769531
1.546387,15.555176,26.847656,1.190918,16.259521,29.781250
1.551025,15.543701,26.832031,1.187500,16.245361,29.773438
1.551514,15.549805,26.832031,1.184082,16.242676,29.777344
1.553467,15.539062,26.835938,1.180176,16.241943,29.757812
1.569824,15.545166,26.828125,1.184814,16.229248,29.742188
1.559814,15.556885,26.875000,1.183105,16.242188,29.753906
