right x, right y, right size, left x, left y, left size
4.119629,7.838623,28.929688,4.194092,8.278320,28.910156
4.117920,7.840332,28.906250,4.187988,8.275391,28.933594
4.119141,7.834473,28.917969,4.180176,8.276855,28.945312
4.121826,7.841797,28.898438,4.183838,8.279053,28.910156
4.122803,7.843506,28.917969,4.188477,8.285645,28.894531
4.120361,7.848877,28.890625,4.205322,8.287354,28.886719
4.124756,7.855225,28.894531,4.203857,8.293213,28.863281
4.115967,7.853760,28.886719,4.196289,8.281738,28.886719
4.126221,7.854492,28.878906,4.193604,8.286377,28.859375
4.125977,7.849854,28.882812,4.193848,8.276855,28.894531
4.121582,7.839355,28.917969,4.190186,8.276367,28.910156
4.119141,7.837891,28.925781,4.197510,8.278564,28.886719
4.117920,7.844727,28.933594,4.193359,8.274658,28.906250
4.111572,7.834229,28.957031,4.196533,8.278809,28.878906
4.114990,7.837402,28.941406,4.190918,8.282227,28.875000
4.121338,7.836426,28.925781,4.199463,8.290527,28.855469
4.127441,7.848877,28.894531,4.188477,8.279297,28.886719
4.138916,7.855225,28.894531,4.195068,8.280518,28.886719
4.120361,7.857910,28.875000,4.207031,8.283691,28.859375
4.127441,7.855713,28.863281,4.209717,8.291260,28.847656
4.134033,7.853760,28.859375,4.208252,8.286377,28.871094
4.136719,7.855957,28.835938,4.201660,8.273438,28.894531
4.142578,7.851807,28.832031,4.204102,8.276367,28.890625
4.147217,7.857910,28.828125,4.204102,8.270752,28.917969
4.162109,7.861816,28.832031,4.198486,8.277344,28.875000
4.156982,7.851318,28.851562,4.207275,8.289307,28.859375
4.161621,7.849365,28.835938,4.211670,8.306396,28.832031
4.154541,7.854492,28.832031,4.178955,8.287109,28.914062
4.162354,7.857910,28.843750,4.183594,8.286377,28.906250
4.158447,7.857178,28.851562,4.190186,8.290039,28.894531
4.168945,7.854736,28.839844,4.190186,8.305420,28.855469
4.164551,7.845215,28.832031,4.202393,8.312988,28.816406
4.162354,7.842041,28.843750,4.219482,8.329590,28.789062
4.166992,7.848145,28.843750,4.221680,8.334717,28.792969
4.172852,7.852295,28.824219,4.221191,8.323975,28.800781
4.176025,7.853760,28.804688,4.218506,8.322998,28.785156
4.182617,7.859863,28.804688,4.213623,8.302979,28.812500
4.177002,7.857666,28.808594,4.208252,8.308838,28.828125
4.181885,7.852783,28.812500,4.195801,8.297119,28.832031
4.181396,7.850586,28.808594,4.190674,8.293457,28.847656
